year,count_included_before_exclusion,count_excluded_matches,count_final,decade_source
1975,33,0,33,75-86
1976,47,0,47,75-86
1977,67,0,67,75-86
1978,71,0,71,75-86
1979,77,0,77,75-86
1980,69,0,69,75-86
1981,47,0,47,75-86
1982,58,0,58,75-86
1983,76,0,76,75-86
1984,96,0,96,75-86
1985,157,0,157,75-86
1986,256,0,256,75-86
1987,256,0,256,87-03
1988,290,0,290,87-03
1989,373,0,373,87-03
1990,475,0,475,87-03
1991,399,0,399,87-03
1992,384,0,384,87-03
1993,430,0,430,87-03
1994,359,0,359,87-03
1995,305,0,305,87-03
1996,296,0,296,87-03
1997,234,0,234,87-03
1998,265,0,265,87-03
1999,224,0,224,87-03
2000,236,0,236,87-03
2001,222,0,222,87-03
2002,429,0,429,87-03
2003,292,0,292,87-03
2004,256,0,256,04-25
2005,340,0,340,04-25
2006,318,0,318,04-25
2007,309,0,309,04-25
2008,301,0,301,04-25
2009,313,0,313,04-25
2010,366,0,366,04-25
2011,342,0,342,04-25
2012,368,0,368,04-25
2013,377,0,377,04-25
2014,351,0,351,04-25
2015,404,0,404,04-25
2016,398,0,398,04-25
2017,439,0,439,04-25
2018,454,0,454,04-25
2019,561,0,561,04-25
2020,579,0,579,04-25
2021,719,0,719,04-25
2022,860,0,860,04-25
2023,1095,0,1095,04-25
2024,1298,0,1298,04-25
2025,1816,0,1816,04-25
