year,count_included_before_exclusion,count_excluded_matches,count_final,decade_source,count_final_rolling_3y
1975,33,0,33,,33.0
1976,47,0,47,,40.0
1977,67,0,67,,49.0
1978,71,0,71,,61.666666666666664
1979,77,0,77,,71.66666666666667
1980,69,0,69,,72.33333333333333
1981,47,0,47,,64.33333333333333
1982,58,0,58,,58.0
1983,76,0,76,,60.333333333333336
1984,96,0,96,,76.66666666666667
1985,157,0,157,,109.66666666666667
1986,256,0,256,,169.66666666666666
1987,256,0,256,,223.0
1988,290,0,290,,267.3333333333333
1989,373,0,373,,306.3333333333333
1990,475,0,475,,379.3333333333333
1991,399,0,399,,415.6666666666667
1992,384,0,384,,419.3333333333333
1993,430,0,430,,404.3333333333333
1994,359,0,359,,391.0
1995,305,0,305,,364.6666666666667
1996,296,0,296,,320.0
1997,234,0,234,,278.3333333333333
1998,265,0,265,,265.0
1999,224,0,224,,241.0
2000,236,0,236,,241.66666666666666
2001,222,0,222,,227.33333333333334
2002,429,0,429,,295.6666666666667
2003,292,0,292,,314.3333333333333
2004,256,0,256,,325.6666666666667
2005,340,0,340,,296.0
2006,318,0,318,,304.6666666666667
2007,309,0,309,,322.3333333333333
2008,301,0,301,,309.3333333333333
2009,313,0,313,,307.6666666666667
2010,366,0,366,,326.6666666666667
2011,342,0,342,,340.3333333333333
2012,368,0,368,,358.6666666666667
2013,377,0,377,,362.3333333333333
2014,351,0,351,,365.3333333333333
2015,404,0,404,,377.3333333333333
2016,398,0,398,,384.3333333333333
2017,439,0,439,,413.6666666666667
2018,454,0,454,,430.3333333333333
2019,561,0,561,,484.6666666666667
2020,579,0,579,,531.3333333333334
2021,719,0,719,,619.6666666666666
2022,860,0,860,,719.3333333333334
2023,1095,0,1095,,891.3333333333334
2024,1298,0,1298,,1084.3333333333333
2025,1816,0,1816,,1403.0
