year,count_included_before_exclusion,count_excluded_matches,count_final,decade_source,total_publications,fraction_all,percent_all,percent_all_rolling_3y
1975,33,0,33,,1100056,2.9998472805020836e-05,0.0029998472805020837,0.0029998472805020837
1976,47,0,47,,1115567,4.2131041882737655e-05,0.004213104188273765,0.003606475734387924
1977,67,0,67,,1159675,5.7774807596956045e-05,0.005777480759695605,0.004330144076157151
1978,71,0,71,,1209648,5.8694760789915743e-05,0.005869476078991574,0.00528668700898698
1979,77,0,77,,1256011,6.130519557551646e-05,0.0061305195575516456,0.005925825465412941
1980,69,0,69,,1376296,5.0134564076332415e-05,0.005013456407633242,0.0056711506813921534
1981,47,0,47,,1365738,3.4413628382603395e-05,0.0034413628382603395,0.004861779601148409
1982,58,0,58,,1366309,4.24501339008965e-05,0.00424501339008965,0.0042332775453277445
1983,76,0,76,,1419699,5.353247413712343e-05,0.005353247413712343,0.004346541214020778
1984,96,0,96,,1472523,6.519422786605031e-05,0.0065194227866050315,0.005372561196802342
1985,157,0,157,,1537129,0.0001021384672333942,0.01021384672333942,0.007362172307885598
1986,256,0,256,,1617084,0.00015830964872573102,0.0158309648725731,0.010854744794172517
1987,256,0,256,,1703768,0.0001502551990646614,0.01502551990646614,0.013690110500792885
1988,290,0,290,,1782970,0.00016264996045923375,0.016264996045923373,0.015707160274987537
1989,373,0,373,,1896217,0.00019670744434840528,0.01967074443484053,0.016987086795743348
1990,475,0,475,,2067059,0.00022979508567486461,0.02297950856748646,0.01963841634941679
1991,399,0,399,,2061892,0.00019351159032577847,0.019351159032577846,0.020667137344968278
1992,384,0,384,,2158156,0.00017792967700203322,0.017792967700203322,0.020041211766755874
1993,430,0,430,,2254301,0.00019074648860112293,0.019074648860112293,0.018739591864297824
1994,359,0,359,,2375687,0.0001511141829710732,0.015111418297107321,0.01732634495247431
1995,305,0,305,,2523839,0.00012084764519448348,0.012084764519448348,0.01542361055888932
1996,296,0,296,,2736819,0.00010815475922960195,0.010815475922960196,0.012670552913171956
1997,234,0,234,,2828147,8.273968785922373e-05,0.008273968785922374,0.010391403076110306
1998,265,0,265,,3011621,8.799247979742471e-05,0.00879924797974247,0.009296230896208346
1999,224,0,224,,3125911,7.165910993627138e-05,0.007165910993627137,0.008079709253097327
2000,236,0,236,,3787968,6.230253265075101e-05,0.006230253265075101,0.007398470746148235
2001,222,0,222,,3790899,5.8561306961752346e-05,0.005856130696175235,0.006417431651625824
2002,429,0,429,,4407937,9.73244399817874e-05,0.00973244399817874,0.007272942653143026
2003,292,0,292,,4689870,6.226185374008235e-05,0.006226185374008235,0.00727158668945407
2004,256,0,256,,5091800,5.0276915825444836e-05,0.005027691582544484,0.00699544031824382
2005,340,0,340,,5431545,6.259729045787156e-05,0.0062597290457871565,0.005837868667446625
2006,318,0,318,,5926018,5.366166623186092e-05,0.005366166623186092,0.00555119575050591
2007,309,0,309,,6455717,4.786455168341487e-05,0.004786455168341487,0.005470783612438246
2008,301,0,301,,6856818,4.3897912996961565e-05,0.0043897912996961564,0.004847471030407911
2009,313,0,313,,7453597,4.19931477379311e-05,0.0041993147737931094,0.004458520413943584
2010,366,0,366,,7953175,4.6019357049228766e-05,0.004601935704922877,0.004397013926137381
2011,342,0,342,,8638597,3.9589762087524166e-05,0.003958976208752417,0.0042534088958228015
2012,368,0,368,,8927282,4.122195310958027e-05,0.004122195310958027,0.004227702408211107
2013,377,0,377,,9390071,4.014879120722303e-05,0.0040148791207223035,0.004032016880144249
2014,351,0,351,,9922075,3.537566486848769e-05,0.003537566486848769,0.003891546972843033
2015,404,0,404,,10166945,3.973661704671364e-05,0.003973661704671364,0.003842035770747479
2016,398,0,398,,10530449,3.779515954163018e-05,0.003779515954163018,0.003763581381894384
2017,439,0,439,,10388494,4.225829075898778e-05,0.004225829075898778,0.003993002244911053
2018,454,0,454,,10335257,4.392730630694524e-05,0.0043927306306945245,0.004132691886918773
2019,561,0,561,,10693251,5.24629974551238e-05,0.00524629974551238,0.004621619817368561
2020,579,0,579,,11389096,5.083809988079826e-05,0.005083809988079826,0.004907613454762243
2021,719,0,719,,10676182,6.734617300454414e-05,0.006734617300454414,0.005688242344682207
2022,860,0,860,,10131747,8.488170894910819e-05,0.008488170894910819,0.006768866061148353
2023,1095,0,1095,,10718707,0.00010215784422505438,0.010215784422505439,0.00847952420595689
2024,1298,0,1298,,10531755,0.00012324631554759866,0.012324631554759866,0.010342862290725374
2025,1816,0,1816,,14597149,0.0001244078552599552,0.01244078552599552,0.011660400501086942
