year,count_included_before_exclusion,count_excluded_matches,count_final,decade_source,cs_ee_total_publications,fraction_cs_ee,percent_cs_ee,percent_cs_ee_rolling_3y
1975,33,0,33,,24458,0.0013492517785591625,0.13492517785591626,0.13492517785591626
1976,47,0,47,,24449,0.0019223690130475684,0.19223690130475685,0.16358103958033654
1977,67,0,67,,26120,0.0025650842266462482,0.2565084226646248,0.19455683394176596
1978,71,0,71,,27222,0.0026081845566086254,0.26081845566086254,0.23652125987674802
1979,77,0,77,,28607,0.0026916488971230816,0.2691648897123082,0.2621639226792652
1980,69,0,69,,30101,0.002292282648416996,0.22922826484169959,0.2530705367382901
1981,47,0,47,,31504,0.0014918740477399696,0.14918740477399695,0.21586018644266824
1982,58,0,58,,33206,0.0017466722881406974,0.17466722881406974,0.1843609661432554
1983,76,0,76,,36275,0.002095106822880772,0.2095106822880772,0.1777884386253813
1984,96,0,96,,38554,0.0024900140063287856,0.24900140063287857,0.21105977057834183
1985,157,0,157,,41498,0.0037833148585473997,0.37833148585473997,0.2789478562585652
1986,256,0,256,,46910,0.005457258580260072,0.5457258580260073,0.3910195815045419
1987,256,0,256,,50840,0.005035405192761605,0.5035405192761605,0.4758659543856359
1988,290,0,290,,55096,0.005263540002904022,0.5263540002904022,0.5252067925308567
1989,373,0,373,,59153,0.006305681875813568,0.6305681875813568,0.5534875690493065
1990,475,0,475,,66042,0.007192392719784379,0.719239271978438,0.625387153283399
1991,399,0,399,,70509,0.005658852061438965,0.5658852061438965,0.6385642219012304
1992,384,0,384,,76054,0.0050490441002445634,0.5049044100244563,0.5966762960489302
1993,430,0,430,,81195,0.005295892604224398,0.5295892604224398,0.5334596255302642
1994,359,0,359,,86146,0.004167343811668563,0.41673438116685624,0.4837426838712508
1995,305,0,305,,90458,0.0033717305268743504,0.337173052687435,0.4278322314255771
1996,296,0,296,,98975,0.0029906542056074765,0.29906542056074764,0.35099095147167964
1997,234,0,234,,103014,0.0022715359077406954,0.22715359077406955,0.28779735467408407
1998,265,0,265,,109716,0.0024153268438513982,0.24153268438513983,0.25591723190665233
1999,224,0,224,,118707,0.0018869990817727683,0.18869990817727683,0.21912872777882875
2000,236,0,236,,142479,0.0016563844496381922,0.16563844496381921,0.198623679175412
2001,222,0,222,,154389,0.0014379262771311429,0.1437926277131143,0.16604366028473677
2002,429,0,429,,294306,0.001457666510366761,0.1457666510366761,0.15173257457120318
2003,292,0,292,,258963,0.0011275742094430479,0.11275742094430478,0.13410556656469838
2004,256,0,256,,270038,0.0009480147238536799,0.09480147238536799,0.11777518145544963
2005,340,0,340,,319213,0.0010651195283400113,0.10651195283400113,0.10469028205455795
2006,318,0,318,,349707,0.0009093326699208194,0.09093326699208194,0.09741556407048368
2007,309,0,309,,368955,0.000837500508192056,0.0837500508192056,0.0937317568817629
2008,301,0,301,,394109,0.0007637481001448838,0.07637481001448838,0.08368604260859197
2009,313,0,313,,433587,0.0007218851118691289,0.07218851118691288,0.07743779067353562
2010,366,0,366,,467775,0.0007824274490941158,0.07824274490941158,0.07560202203693761
2011,342,0,342,,498800,0.000685645549318364,0.0685645549318364,0.07299860367605362
2012,368,0,368,,509012,0.0007229692030836208,0.07229692030836209,0.07303474004987003
2013,377,0,377,,523269,0.0007204707330264167,0.07204707330264166,0.07096951618094671
2014,351,0,351,,537304,0.0006532614683680002,0.06532614683680002,0.0698900468159346
2015,404,0,404,,547332,0.0007381260368478364,0.07381260368478364,0.07039527460807511
2016,398,0,398,,559881,0.0007108653446000132,0.07108653446000132,0.07007509499386166
2017,439,0,439,,562757,0.0007800880308907753,0.07800880308907752,0.07430264707795416
2018,454,0,454,,604771,0.0007506973714017372,0.07506973714017372,0.07472169156308418
2019,561,0,561,,638580,0.0008785116978295593,0.08785116978295593,0.0803099033374024
2020,579,0,579,,679243,0.0008524195317434262,0.08524195317434262,0.0827209533658241
2021,719,0,719,,638834,0.001125487998447171,0.11254879984471709,0.09521397426733856
2022,860,0,860,,613754,0.0014012128637858165,0.14012128637858165,0.11263734646588046
2023,1095,0,1095,,687643,0.0015923960543479684,0.15923960543479684,0.13730323055269852
2024,1298,0,1298,,710343,0.0018272862546685194,0.18272862546685192,0.1606965057600768
2025,1816,0,1816,,808272,0.0022467684145931074,0.22467684145931074,0.1888816907869865
