year,count_included_before_exclusion,count_excluded_matches,count_final,decade_source,ee_total_publications,fraction_ee,percent_ee,percent_ee_rolling_3y
1975,33,0,33,,16482,0.002002184200946487,0.2002184200946487,0.2002184200946487
1976,47,0,47,,16556,0.0028388499637593623,0.2838849963759362,0.24205170823529248
1977,67,0,67,,17432,0.003843506195502524,0.3843506195502524,0.28948467867361244
1978,71,0,71,,18384,0.003862053959965187,0.3862053959965187,0.35148033730756917
1979,77,0,77,,19619,0.003924766807686426,0.3924766807686426,0.3876775654384712
1980,69,0,69,,21061,0.0032761977114097148,0.32761977114097146,0.3687672826353776
1981,47,0,47,,22583,0.0020812115307975027,0.20812115307975027,0.3094058683297881
1982,58,0,58,,22271,0.00260428359750348,0.260428359750348,0.2653897613236899
1983,76,0,76,,23544,0.0032279986408426777,0.32279986408426775,0.263783125638122
1984,96,0,96,,25017,0.0038373905744094015,0.38373905744094017,0.322322427091852
1985,157,0,157,,27600,0.00568840579710145,0.568840579710145,0.4251265004117843
1986,256,0,256,,28186,0.009082523238487192,0.9082523238487192,0.6202773203332681
1987,256,0,256,,32050,0.00798751950078003,0.798751950078003,0.7586149512122891
1988,290,0,290,,31633,0.00916764138715898,0.9167641387158979,0.8745894708808734
1989,373,0,373,,34623,0.010773185454755509,1.077318545475551,0.9309448780898174
1990,475,0,475,,36914,0.01286774665438587,1.286774665438587,1.0936191165433453
1991,399,0,399,,39872,0.010007022471910113,1.0007022471910112,1.1215984860350499
1992,384,0,384,,40518,0.009477269361765142,0.9477269361765142,1.0784012829353709
1993,430,0,430,,43753,0.00982789751559893,0.982789751559893,0.9770729783091395
1994,359,0,359,,43983,0.008162244503558192,0.8162244503558193,0.9155803793640755
1995,305,0,305,,46859,0.006508888367229348,0.6508888367229347,0.8166343462128823
1996,296,0,296,,51948,0.005698005698005698,0.5698005698005698,0.6789712856264414
1997,234,0,234,,51688,0.004527162977867203,0.45271629778672035,0.5578019014367416
1998,265,0,265,,54223,0.004887224978330229,0.4887224978330229,0.5037464551401043
1999,224,0,224,,57453,0.0038988390510504237,0.3898839051050424,0.44377423357492857
2000,236,0,236,,64123,0.003680426679974424,0.3680426679974424,0.4155496903118359
2001,222,0,222,,68783,0.0032275416890801506,0.32275416890801506,0.36022691400349993
2002,429,0,429,,149396,0.0028715628263139576,0.28715628263139575,0.32598437317895107
2003,292,0,292,,122504,0.002383595637693463,0.23835956376934633,0.2827566717695857
2004,256,0,256,,119771,0.0021374122283357405,0.21374122283357405,0.24641902307810537
2005,340,0,340,,143966,0.0023616687273383995,0.23616687273383996,0.22942255311225346
2006,318,0,318,,157234,0.0020224633349021203,0.20224633349021204,0.21738480968587537
2007,309,0,309,,153861,0.002008306198451849,0.2008306198451849,0.2130812753564123
2008,301,0,301,,163529,0.0018406521167499343,0.18406521167499343,0.19571405500346342
2009,313,0,313,,171524,0.0018248175182481751,0.18248175182481752,0.18912586111499863
2010,366,0,366,,185725,0.001970655539103513,0.1970655539103513,0.18787083913672076
2011,342,0,342,,199322,0.0017158166183361596,0.17158166183361595,0.18370965585626156
2012,368,0,368,,203221,0.0018108364785135395,0.18108364785135395,0.1832436211984404
2013,377,0,377,,208376,0.001809229469804584,0.1809229469804584,0.17786275222180944
2014,351,0,351,,219617,0.001598236930656552,0.15982369306565522,0.17394342929915585
2015,404,0,404,,220626,0.0018311531732434073,0.18311531732434072,0.17462065245681813
2016,398,0,398,,221593,0.0017960856164229014,0.17960856164229014,0.17418252401076204
2017,439,0,439,,222879,0.0019696786148537997,0.19696786148537998,0.18656391348400359
2018,454,0,454,,233562,0.0019438093525487878,0.1943809352548788,0.19031911946084965
2019,561,0,561,,240817,0.00232956975628797,0.23295697562879697,0.20810192412301856
2020,579,0,579,,234901,0.002464868178509244,0.2464868178509244,0.2246082429115334
2021,719,0,719,,230590,0.0031180883819766684,0.31180883819766686,0.2637508772257961
2022,860,0,860,,228555,0.003762770449126031,0.3762770449126031,0.31152423365373144
2023,1095,0,1095,,251644,0.004351385290330785,0.4351385290330785,0.3744081373811161
2024,1298,0,1298,,264506,0.004907261082924395,0.4907261082924395,0.434047227412707
2025,1816,0,1816,,285793,0.006354249404289118,0.6354249404289118,0.5204298592514766
