year,total_publications
1975,1100056
1976,1115567
1977,1159675
1978,1209648
1979,1256011
1980,1376296
1981,1365738
1982,1366309
1983,1419699
1984,1472523
1985,1537129
1986,1617084
1987,1703768
1988,1782970
1989,1896217
1990,2067059
1991,2061892
1992,2158156
1993,2254301
1994,2375687
1995,2523839
1996,2736819
1997,2828147
1998,3011621
1999,3125911
2000,3787968
2001,3790899
2002,4407937
2003,4689870
2004,5091800
2005,5431545
2006,5926018
2007,6455717
2008,6856818
2009,7453597
2010,7953175
2011,8638597
2012,8927282
2013,9390071
2014,9922075
2015,10166945
2016,10530449
2017,10388494
2018,10335257
2019,10693251
2020,11389096
2021,10676182
2022,10131747
2023,10718707
2024,10531755
2025,14597149
