year,cs_ee_total_publications
1975,24458
1976,24449
1977,26120
1978,27222
1979,28607
1980,30101
1981,31504
1982,33206
1983,36275
1984,38554
1985,41498
1986,46910
1987,50840
1988,55096
1989,59153
1990,66042
1991,70509
1992,76054
1993,81195
1994,86146
1995,90458
1996,98975
1997,103014
1998,109716
1999,118707
2000,142479
2001,154389
2002,294306
2003,258963
2004,270038
2005,319213
2006,349707
2007,368955
2008,394109
2009,433587
2010,467775
2011,498800
2012,509012
2013,523269
2014,537304
2015,547332
2016,559881
2017,562757
2018,604771
2019,638580
2020,679243
2021,638834
2022,613754
2023,687643
2024,710343
2025,808272
