year,optical_cs_ee_subfield_publications
1975,3464
1976,3657
1977,3697
1978,3841
1979,4335
1980,4538
1981,5028
1982,4818
1983,5353
1984,5669
1985,6468
1986,7336
1987,8192
1988,8319
1989,9163
1990,10327
1991,10917
1992,10382
1993,11919
1994,11381
1995,11533
1996,13375
1997,11906
1998,12825
1999,12579
2000,13353
2001,13870
2002,25921
2003,22218
2004,22796
2005,27209
2006,26595
2007,26221
2008,26446
2009,28054
2010,30125
2011,32142
2012,31754
2013,33104
2014,33470
2015,34024
2016,33697
2017,34488
2018,35657
2019,37435
2020,35603
2021,36669
2022,37760
2023,45195
2024,45664
2025,45433
