year,optical_total_publications
1975,15610
1976,16818
1977,18468
1978,19218
1979,19545
1980,21120
1981,22506
1982,22390
1983,24796
1984,26624
1985,28827
1986,32117
1987,34715
1988,37020
1989,40472
1990,44688
1991,46886
1992,48604
1993,53301
1994,54609
1995,55210
1996,63446
1997,62337
1998,67673
1999,67863
2000,73647
2001,76701
2002,103271
2003,103389
2004,109747
2005,122553
2006,129332
2007,134616
2008,140765
2009,150035
2010,164224
2011,178471
2012,186914
2013,199596
2014,208398
2015,218424
2016,230128
2017,237307
2018,255455
2019,276028
2020,291899
2021,306481
2022,323170
2023,420556
2024,403178
2025,406342
